city,country,growth,latitude,longitude,population,year,continent,gdp_per_capita,ECI,hdi
urasoe,japan,Developed economies,26.2457804,127.7217156,114232,2010,Eastern Asia,41959,2.30938,0.915
dubai,united arab emirates,Developing economies,25.2048493,55.2707828,1089000,2010,Western Asia,73356,0.128674,0.866
savannah,united states,Developed economies,32.0808989,-81.091203,146763,2010,Northern America,59928,1.75541,0.92
nairobi,kenya,Developing economies,-1.2920659,36.8219462,3109861,2010,Eastern Africa,3258,-0.747829,0.579
asheville,united states,Developed economies,35.5950581,-82.5514869,309250,2010,Northern America,59928,1.75541,0.92
dublin,ireland,Developed economies,53.3250681,-6.2239212,544107,2010,Northern Europe,77596,1.40023,0.942
washington,united states,Developed economies,38.9071923,-77.0368707,681170,2010,Northern America,59928,1.75541,0.92
vancouver,canada,Developed economies,49.2827291,-123.1207375,676593,2010,Northern America,46723,1.05671,0.922
san diego,united states,Developed economies,32.715738,-117.1610838,1406630,2010,Northern America,59928,1.75541,0.92
rochester,united states,Developed economies,43.1565779,-77.6088465,114011,2010,Northern America,59928,1.75541,0.92
kaunas,lithuania,Developed economies,54.8985207,23.9035965,290527,2010,Northern Europe,33253,0.675449,0.869
cambridge,united states,Developed economies,42.3736158,-71.1097335,110651,2010,Northern America,59928,1.75541,0.92
cambridge,united kingdom,Developed economies,52.205337,0.121817,128488,2010,Northern Europe,44896,1.53259,0.92
poznań,poland,Developed economies,52.406374,16.9251681,538439,2010,Eastern Europe,29931,1.09432,0.872
orlando,united states,Developed economies,28.5383355,-81.3792365,277173,2010,Northern America,59928,1.75541,0.92
são paulo,brazil,Developing economies,-23.5505199,-46.6333094,12252023,2010,South America,15662,0.608252,0.761
iași,romania,Developed economies,47.1584549,27.6014418,325914,2010,Eastern Europe,26596,0.713669,0.816
stellenbosch,south africa,Developing economies,-33.9321045,18.860152,0,2010,Southern Africa,13464,0.268797,0.705
dubai,united arab emirates,Developing economies,25.2048493,55.2707828,1089000,2010,Western Asia,73356,0.128674,0.866
lenox,united states,Developed economies,42.3564609,-73.2848762,8918,2010,Northern America,59928,1.75541,0.92
seoul,south korea,Developing economies,37.555338,126.973312,10197604,2010,Eastern Asia,38824,1.77613,0.906
south saint paul,united states,Developed economies,44.8759802,-93.0275802,20242,2010,Northern America,59928,1.75541,0.92
kundapura,india,Developing economies,13.6235274,74.6917418,0,2010,Southern Asia,7169,0.359807,0.647
seoul,south korea,Developing economies,37.555338,126.973312,10197604,2010,Eastern Asia,38824,1.77613,0.906
örebro,sweden,Developed economies,59.2752626,15.2134105,129703,2010,Northern Europe,51405,1.80773,0.937
ben lomond,united states,Developed economies,37.0891143,-122.0863528,6923,2010,Northern America,59928,1.75541,0.92
sacramento,united states,Developed economies,38.5815719,-121.4943996,495234,2010,Northern America,59928,1.75541,0.92
malmö,sweden,Developed economies,55.604981,13.003822,278522.5,2010,Northern Europe,51405,1.80773,0.937
zamora de hidalgo,mexico,Developing economies,19.983647,-102.280819,0,2010,Northern America,19432,1.09955,0.767
bainbridge island,united states,Developed economies,47.6248791,-122.5210007,24522,2010,Northern America,59928,1.75541,0.92
redmond,united states,Developed economies,47.6739881,-122.121512,64291,2010,Northern America,59928,1.75541,0.92
zhuhai,china,Developing economies,22.270978,113.576677,1023000,2010,Eastern Asia,16782,0.691307,0.758
bogota,colombia,Developing economies,4.7109886,-74.072092,8181047,2010,South America,14507,0.144356,0.761
helsinki,finland,Developed economies,60.1698557,24.9383791,639227,2010,Northern Europe,46349,1.70679,0.925
rochester,united states,Developed economies,43.1565779,-77.6088465,114011,2010,Northern America,59928,1.75541,0.92
newport news,united states,Developed economies,37.0870821,-76.4730122,181825,2010,Northern America,59928,1.75541,0.92
mumbai,india,Developing economies,19.0759837,72.8776559,12478447,2010,Southern Asia,7169,0.359807,0.647
stockholm,sweden,Developed economies,59.3293235,18.0685808,789024,2010,Northern Europe,51405,1.80773,0.937
santa cruz de tenerife,spain,Developed economies,28.4636296,-16.2518467,204274,2010,Southern Europe,39037,0.777415,0.893
stockholm,sweden,Developed economies,59.3293235,18.0685808,789024,2010,Northern Europe,51405,1.80773,0.937
stockholm,sweden,Developed economies,59.3293235,18.0685808,789024,2010,Northern Europe,51405,1.80773,0.937
los angeles,united states,Developed economies,34.0522342,-118.2436849,3884307,2010,Northern America,59928,1.75541,0.92
williamstown,united states,Developed economies,42.7120196,-73.2036898,15191,2010,Northern America,59928,1.75541,0.92
kingston,jamaica,Developing economies,18.0178743,-76.8099041,937700,2010,Caribbean,8971,-0.239734,0.726
mar del plata,argentina,Developing economies,-38.0054771,-57.5426106,555897,2010,South America,20843,0.232335,0.83
cincinnati,united states,Developed economies,39.1031182,-84.5120196,298800,2010,Northern America,59928,1.75541,0.92
jakarta,indonesia,Developing economies,-6.2087634,106.845599,10428001,2010,South-eastern Asia,12279,-0.305644,0.707
palermo,italy,Developed economies,38.11569,13.3614868,671070,2010,Southern Europe,40981,1.11743,0.883
stockholm,sweden,Developed economies,59.3293235,18.0685808,789024,2010,Northern Europe,51405,1.80773,0.937
lahore,pakistan,Developing economies,31.5203696,74.3587473,11126285,2010,Southern Asia,5249,-0.859978,0.56
christchurch,new zealand,Developed economies,-43.5320544,172.6362254,363200,2010,Oceania,40439,0.483484,0.921
minnesota,united states,Developed economies,44.9374831,-93.2009998,0,2010,Northern America,59928,1.75541,0.92
lahore,pakistan,Developing economies,31.5203696,74.3587473,11126285,2010,Southern Asia,5249,-0.859978,0.56
dubai,united arab emirates,Developing economies,25.2048493,55.2707828,1089000,2010,Western Asia,73356,0.128674,0.866
orlando,united states,Developed economies,28.5383355,-81.3792365,277173,2010,Northern America,59928,1.75541,0.92
kakinada,india,Developing economies,16.9890648,82.2474648,292923,2010,Southern Asia,7169,0.359807,0.647
state college,united states,Developed economies,40.8147955,-77.8653126,88285,2010,Northern America,59928,1.75541,0.92
vancouver,canada,Developed economies,49.2827291,-123.1207375,676593,2010,Northern America,46723,1.05671,0.922
rovinj,croatia,Developed economies,45.0811661,13.6387067,0,2010,Southern Europe,26296,0.623091,0.837
phoenix,united states,Developed economies,33.4483771,-112.0740373,1615017,2010,Northern America,59928,1.75541,0.92
zagreb,croatia,Developed economies,45.8147052,15.9733762,790017,2010,Southern Europe,26296,0.623091,0.837
valera,venezuela,Developing economies,9.3191109,-70.6032995,161771,2010,South America,18102,-0.655229,0.726
cohoes,united states,Developed economies,42.7742446,-73.7001187,16875,2010,Northern America,59928,1.75541,0.92
seoul,south korea,Developing economies,37.555338,126.973312,10197604,2010,Eastern Asia,38824,1.77613,0.906
new orleans,united states,Developed economies,29.9510658,-90.0715323,391495,2010,Northern America,59928,1.75541,0.92
dallas,united states,Developed economies,32.7766642,-96.7969879,1317929,2010,Northern America,59928,1.75541,0.92
